customer_id,segment,signup_date,baseline_purchase_prob
c75472d5-f5d8-4816-bfb8-68eef0038dc2,Student,2025-09-10,0.15
15e012ba-96b7-421a-bac8-260d57e2bcaf,Student,2026-06-14,0.15
93ff1212-bfa1-41d6-aeec-3371ba639bd8,Professional,2026-05-14,0.6
728eb6db-89f9-44ad-8db4-7be65fcb5563,Professional,2026-01-22,0.6
5839ec3d-c0b3-4443-86f9-656ad010b457,Student,2026-05-29,0.15
6a8fa5be-4e15-4580-a3b5-43ddb905d0e5,Student,2025-08-30,0.15
c838c618-9761-4c09-9565-2d4f93a9f89b,Professional,2026-03-28,0.6
ede3fbdb-25cc-4a09-872d-66e18ed80341,Student,2025-09-15,0.15
3b601c3d-1a07-41ae-8638-939124a73a9c,Professional,2025-11-04,0.6
7cbb599c-a669-4be5-af37-04f509756f36,Student,2025-11-21,0.15
e341e3e5-9367-4513-abbd-76ae4d0e23ba,Professional,2025-10-15,0.6
2838e417-2d0f-4e06-8b90-0a06bac517e2,Professional,2026-01-01,0.6
b6471765-8e25-4839-9787-818d74ea210c,Student,2026-06-27,0.15
2b1f92bd-d937-46e2-bd61-87ab43c03cae,Student,2026-02-18,0.15
613e18f3-36a3-4c73-b385-dc9524efe3bc,Student,2026-02-16,0.15
314c585d-ad48-4b1f-9c3d-0d94e15bb1f7,Student,2026-07-05,0.15
04caba41-1694-4289-9125-9714e5645024,Student,2025-12-24,0.15
364c04cc-89e9-4183-b8d7-29629343b941,Professional,2026-04-16,0.6
a993cccc-56ec-4643-96c0-7c9970455844,Professional,2026-04-12,0.6
de72177e-6338-43d8-a4ab-d8fc2386c0c7,Student,2026-03-11,0.15
403c389e-9342-4b58-a44a-442d72b592e3,Student,2026-05-28,0.15
0a03aebe-b981-47c9-a7c5-406778cbddf8,Enterprise,2025-12-26,0.85
370569d4-0fd1-4554-a763-463122aaf9dc,Student,2025-09-13,0.15
0dc4ea97-ce1b-427b-a63d-988dfa359e5c,Student,2025-09-19,0.15
0f8a3173-6839-41d7-8b1d-5dbabd92273a,Student,2025-12-04,0.15
5d396fee-dbc4-4799-aa1d-1f0c0f03f742,Student,2026-01-31,0.15
8f30b1fc-775e-49b4-b6ac-140bfb114107,Student,2026-07-06,0.15
61c67508-f1bd-4d75-bfba-db62e71e2121,Professional,2026-08-23,0.6
3f57916f-4bf2-4667-9cda-ce298a841041,Professional,2026-07-02,0.6
137402a6-7b52-48fb-b261-3a841cd5d994,Professional,2025-10-19,0.6
d709a67b-c1d5-4dfa-982a-083a3959ea93,Student,2026-01-19,0.15
