customer_id,segment,total_orders,total_spent,avg_order_value,last_order_days_ago,pay_count_credit_card,pay_count_netbanking,pay_count_upi,intervention,converted,T,Y,Z
3ebe701b-ce62-4aef-8b4c-a872f8890b21,Student,1.0,4350.69,4350.69,174.8,0.0,0.0,1.0,5% Discount,1,1,1,1
3863cbaa-c354-4615-a328-8e59a3d184e7,Student,1.0,5175.89,5175.89,139.5,1.0,0.0,0.0,10% Cashback,0,1,0,0
4e2a3aea-d36b-473e-a779-cd948499976f,Professional,2.0,9649.39,4824.695,90.4,0.0,0.0,2.0,None,0,0,0,1
d025903f-52c0-4492-a687-a7d4034f563e,Professional,2.0,837.4499999999999,418.72499999999997,26.7,1.0,0.0,1.0,10% Cashback,0,1,0,0
83be80d2-3a7a-4958-8774-489dbbce0685,Student,0.0,0.0,0.0,999.0,0.0,0.0,0.0,None,1,0,1,0
5844be18-47a5-46fc-88ab-33d9a6ee31b1,Student,1.0,1386.5,1386.5,167.0,0.0,0.0,1.0,None,0,0,0,1
b17057e2-08db-4e85-ac0a-56b8f36b2d0e,Professional,3.0,7310.33,2436.7766666666666,54.2,1.0,0.0,2.0,5% Discount,0,1,0,0
46f36f68-ba9b-426b-9668-4e5285151ab2,Student,1.0,2737.4,2737.4,11.1,0.0,0.0,1.0,None,1,0,1,0
256abe0a-bbdb-498f-9c36-40cd46fe3535,Professional,8.0,8520.58,1065.0725,29.2,3.0,0.0,5.0,5% Discount,1,1,1,1
fb9c1997-2009-4078-8ba4-b68f2d65a643,Student,1.0,953.2,953.2,155.3,1.0,0.0,0.0,None,0,0,0,1
6844cc56-772a-47f2-bcbb-15b59fb9eb2d,Professional,3.0,3626.19,1208.73,17.8,1.0,0.0,2.0,None,1,0,1,0
aa9577bc-4687-4ecd-ba41-3244320f68b6,Professional,1.0,2924.02,2924.02,143.2,1.0,0.0,0.0,Free Shipping,1,1,1,1
72d50a46-a8ec-46dd-af4e-1533c7e3bff8,Student,3.0,1386.07,462.0233333333333,7.3,1.0,0.0,2.0,10% Cashback,0,1,0,0
d1c57bb3-3502-4554-bce8-a86f183dfefa,Student,0.0,0.0,0.0,999.0,0.0,0.0,0.0,10% Cashback,1,1,1,1
f3005721-a80d-4d0d-8f34-ccf28ee4d059,Student,0.0,0.0,0.0,999.0,0.0,0.0,0.0,10% Cashback,1,1,1,1
957ee5c5-e544-48c6-b177-e7d211c24cae,Student,1.0,449.6,449.6,42.3,1.0,0.0,0.0,None,0,0,0,1
ebb45bd6-e36c-43b0-bd2a-1f4f4bf62dca,Student,0.0,0.0,0.0,999.0,0.0,0.0,0.0,10% Cashback,0,1,0,0
d25483a2-dc79-40c2-b31e-03eda31a506f,Professional,3.0,1439.93,479.9766666666667,1.4,1.0,0.0,2.0,None,0,0,0,1
8edd186b-7338-417a-bde4-a7908a94eeaf,Professional,5.0,9022.039999999999,1804.408,40.4,3.0,1.0,1.0,10% Cashback,0,1,0,0
b40e46d0-eb5f-4383-a669-3cf4a3c77b94,Student,2.0,582.97,291.485,65.2,1.0,0.0,1.0,10% Cashback,1,1,1,1
f2e2fdae-2f1f-4db2-b456-7cee98054622,Student,1.0,1221.22,1221.22,87.7,1.0,0.0,0.0,Free Shipping,0,1,0,0
08f08eb6-ce6a-4aa0-b03b-2c978932a732,Enterprise,5.0,6885.74,1377.148,48.0,0.0,0.0,5.0,10% Cashback,1,1,1,1
d40ef98c-62e6-4a37-abe5-756f2973d3f0,Student,1.0,1193.94,1193.94,126.2,0.0,0.0,1.0,None,0,0,0,1
7c52d293-b25b-40fa-af96-3734847b643f,Student,0.0,0.0,0.0,999.0,0.0,0.0,0.0,10% Cashback,0,1,0,0
e01c3069-29ac-4341-8173-0325dd1742d7,Student,1.0,13346.81,13346.81,172.8,0.0,0.0,1.0,None,1,0,1,0
0053c14a-441e-493c-9176-70ebbdf4a781,Student,1.0,428.83,428.83,108.0,0.0,0.0,1.0,None,0,0,0,1
